pixel vinkelx vinkely
0 -0.17096721482625726329 0.00000000000000000000
1 -0.17041437015422411516 0.00000000000000000000
2 -0.16986152548219093927 0.00000000000000000000
3 -0.16930868081015776339 0.00000000000000000000
4 -0.16875583613812461525 0.00000000000000000000
5 -0.16820299146609141161 0.00000000000000000000
6 -0.16765014679405826348 0.00000000000000000000
7 -0.16709730212202511535 0.00000000000000000000
8 -0.16654445744999191170 0.00000000000000000000
9 -0.16599161277795876357 0.00000000000000000000
10 -0.16543876810592558768 0.00000000000000000000
11 -0.16488592343389241179 0.00000000000000000000
12 -0.16433307876185926366 0.00000000000000000000
13 -0.16378023408982608777 0.00000000000000000000
14 -0.16322738941779291189 0.00000000000000000000
15 -0.16267454474575976375 0.00000000000000000000
16 -0.16212170007372656011 0.00000000000000000000
17 -0.16156885540169341198 0.00000000000000000000
18 -0.16101601072966026384 0.00000000000000000000
19 -0.16046316605762706020 0.00000000000000000000
20 -0.15991032138559391207 0.00000000000000000000
21 -0.15935747671356073618 0.00000000000000000000
22 -0.15880463204152756029 0.00000000000000000000
23 -0.15825178736949441216 0.00000000000000000000
24 -0.15769894269746123627 0.00000000000000000000
25 -0.15714609802542806039 0.00000000000000000000
26 -0.15659325335339491225 0.00000000000000000000
27 -0.15604040868136170861 0.00000000000000000000
28 -0.15548756400932856048 0.00000000000000000000
29 -0.15493471933729541234 0.00000000000000000000
30 -0.15438187466526220870 0.00000000000000000000
31 -0.15382902999322906057 0.00000000000000000000
32 -0.15327618532119591244 0.00000000000000000000
33 -0.15272334064916270879 0.00000000000000000000
34 -0.15217049597712956066 0.00000000000000000000
35 -0.15161765130509638477 0.00000000000000000000
36 -0.15106480663306320888 0.00000000000000000000
37 -0.15051196196103006075 0.00000000000000000000
38 -0.14995911728899685711 0.00000000000000000000
39 -0.14940627261696370898 0.00000000000000000000
40 -0.14885342794493056084 0.00000000000000000000
41 -0.14830058327289735720 0.00000000000000000000
42 -0.14774773860086420907 0.00000000000000000000
43 -0.14719489392883106094 0.00000000000000000000
44 -0.14664204925679785729 0.00000000000000000000
45 -0.14608920458476470916 0.00000000000000000000
46 -0.14553635991273153327 0.00000000000000000000
47 -0.14498351524069835738 0.00000000000000000000
48 -0.14443067056866520925 0.00000000000000000000
49 -0.14387782589663200561 0.00000000000000000000
50 -0.14332498122459885748 0.00000000000000000000
51 -0.14277213655256570934 0.00000000000000000000
52 -0.14221929188053250570 0.00000000000000000000
53 -0.14166644720849935757 0.00000000000000000000
54 -0.14111360253646620944 0.00000000000000000000
55 -0.14056075786443300579 0.00000000000000000000
56 -0.14000791319239985766 0.00000000000000000000
57 -0.13945506852036668177 0.00000000000000000000
58 -0.13890222384833350588 0.00000000000000000000
59 -0.13834937917630035775 0.00000000000000000000
60 -0.13779653450426715411 0.00000000000000000000
61 -0.13724368983223400598 0.00000000000000000000
62 -0.13669084516020085784 0.00000000000000000000
63 -0.13613800048816765420 0.00000000000000000000
64 -0.13558515581613450607 0.00000000000000000000
65 -0.13503231114410135794 0.00000000000000000000
66 -0.13447946647206815429 0.00000000000000000000
67 -0.13392662180003500616 0.00000000000000000000
68 -0.13337377712800183027 0.00000000000000000000
69 -0.13282093245596865438 0.00000000000000000000
70 -0.13226808778393550625 0.00000000000000000000
71 -0.13171524311190230261 0.00000000000000000000
72 -0.13116239843986915448 0.00000000000000000000
73 -0.13060955376783600634 0.00000000000000000000
74 -0.13005670909580280270 0.00000000000000000000
75 -0.12950386442376965457 0.00000000000000000000
76 -0.12895101975173650644 0.00000000000000000000
77 -0.12839817507970330279 0.00000000000000000000
78 -0.12784533040767015466 0.00000000000000000000
79 -0.12729248573563697877 0.00000000000000000000
80 -0.12673964106360380288 0.00000000000000000000
81 -0.12618679639157065475 0.00000000000000000000
82 -0.12563395171953745111 0.00000000000000000000
83 -0.12508110704750430298 0.00000000000000000000
84 -0.12452826237547114097 0.00000000000000000000
85 -0.12397541770343796508 0.00000000000000000000
86 -0.12342257303140480307 0.00000000000000000000
87 -0.12286972835937162718 0.00000000000000000000
88 -0.12231688368733846517 0.00000000000000000000
89 -0.12176403901530530316 0.00000000000000000000
90 -0.12121119434327212727 0.00000000000000000000
91 -0.12065834967123896526 0.00000000000000000000
92 -0.12010550499920578937 0.00000000000000000000
93 -0.11955266032717262736 0.00000000000000000000
94 -0.11899981565513946535 0.00000000000000000000
95 -0.11844697098310628947 0.00000000000000000000
96 -0.11789412631107312746 0.00000000000000000000
97 -0.11734128163903995157 0.00000000000000000000
98 -0.11678843696700677568 0.00000000000000000000
99 -0.11623559229497361367 0.00000000000000000000
100 -0.11568274762294045166 0.00000000000000000000
101 -0.11512990295090727577 0.00000000000000000000
102 -0.11457705827887411376 0.00000000000000000000
103 -0.11402421360684095175 0.00000000000000000000
104 -0.11347136893480777586 0.00000000000000000000
105 -0.11291852426277459998 0.00000000000000000000
106 -0.11236567959074143797 0.00000000000000000000
107 -0.11181283491870826208 0.00000000000000000000
108 -0.11125999024667510007 0.00000000000000000000
109 -0.11070714557464193806 0.00000000000000000000
110 -0.11015430090260876217 0.00000000000000000000
111 -0.10960145623057560016 0.00000000000000000000
112 -0.10904861155854242427 0.00000000000000000000
113 -0.10849576688650924838 0.00000000000000000000
114 -0.10794292221447610025 0.00000000000000000000
115 -0.10739007754244292436 0.00000000000000000000
116 -0.10683723287040974848 0.00000000000000000000
117 -0.10628438819837660034 0.00000000000000000000
118 -0.10573154352634342446 0.00000000000000000000
119 -0.10517869885431024857 0.00000000000000000000
120 -0.10462585418227707268 0.00000000000000000000
121 -0.10407300951024391067 0.00000000000000000000
122 -0.10352016483821074866 0.00000000000000000000
123 -0.10296732016617757277 0.00000000000000000000
124 -0.10241447549414441076 0.00000000000000000000
125 -0.10186163082211124875 0.00000000000000000000
126 -0.10130878615007807286 0.00000000000000000000
127 -0.10075594147804491085 0.00000000000000000000
128 -0.10020309680601172109 0.00000000000000000000
129 -0.09965025213397857295 0.00000000000000000000
130 -0.09909740746194539707 0.00000000000000000000
131 -0.09854456278991222118 0.00000000000000000000
132 -0.09799171811787907305 0.00000000000000000000
133 -0.09743887344584589716 0.00000000000000000000
134 -0.09688602877381272127 0.00000000000000000000
135 -0.09633318410177957314 0.00000000000000000000
136 -0.09578033942974639725 0.00000000000000000000
137 -0.09522749475771322136 0.00000000000000000000
138 -0.09467465008568004547 0.00000000000000000000
139 -0.09412180541364688346 0.00000000000000000000
140 -0.09356896074161372145 0.00000000000000000000
141 -0.09301611606958054557 0.00000000000000000000
142 -0.09246327139754738356 0.00000000000000000000
143 -0.09191042672551422155 0.00000000000000000000
144 -0.09135758205348104566 0.00000000000000000000
145 -0.09080473738144786977 0.00000000000000000000
146 -0.09025189270941469388 0.00000000000000000000
147 -0.08969904803738154575 0.00000000000000000000
148 -0.08914620336534836986 0.00000000000000000000
149 -0.08859335869331519397 0.00000000000000000000
150 -0.08804051402128204584 0.00000000000000000000
151 -0.08748766934924886995 0.00000000000000000000
152 -0.08693482467721569407 0.00000000000000000000
153 -0.08638198000518253206 0.00000000000000000000
154 -0.08582913533314935617 0.00000000000000000000
155 -0.08527629066111619416 0.00000000000000000000
156 -0.08472344598908301827 0.00000000000000000000
157 -0.08417060131704985626 0.00000000000000000000
158 -0.08361775664501669425 0.00000000000000000000
159 -0.08306491197298351836 0.00000000000000000000
160 -0.08251206730095034247 0.00000000000000000000
161 -0.08195922262891719434 0.00000000000000000000
162 -0.08140637795688401845 0.00000000000000000000
163 -0.08085353328485084257 0.00000000000000000000
164 -0.08030068861281766668 0.00000000000000000000
165 -0.07974784394078451855 0.00000000000000000000
166 -0.07919499926875134266 0.00000000000000000000
167 -0.07864215459671816677 0.00000000000000000000
168 -0.07808930992468501864 0.00000000000000000000
169 -0.07753646525265184275 0.00000000000000000000
170 -0.07698362058061866686 0.00000000000000000000
171 -0.07643077590858550485 0.00000000000000000000
172 -0.07587793123655232896 0.00000000000000000000
173 -0.07532508656451916695 0.00000000000000000000
174 -0.07477224189248599107 0.00000000000000000000
175 -0.07421939722045282906 0.00000000000000000000
176 -0.07366655254841966705 0.00000000000000000000
177 -0.07311370787638649116 0.00000000000000000000
178 -0.07256086320435331527 0.00000000000000000000
179 -0.07200801853232016714 0.00000000000000000000
180 -0.07145517386028699125 0.00000000000000000000
181 -0.07090232918825381536 0.00000000000000000000
182 -0.07034948451622063947 0.00000000000000000000
183 -0.06979663984418749134 0.00000000000000000000
184 -0.06924379517215431545 0.00000000000000000000
185 -0.06869095050012113957 0.00000000000000000000
186 -0.06813810582808797756 0.00000000000000000000
187 -0.06758526115605481555 0.00000000000000000000
188 -0.06703241648402163966 0.00000000000000000000
189 -0.06647957181198849153 0.00000000000000000000
190 -0.06592672713995528788 0.00000000000000000000
191 -0.06537388246792213975 0.00000000000000000000
192 -0.06482103779588896386 0.00000000000000000000
193 -0.06426819312385578797 0.00000000000000000000
194 -0.06371534845182263984 0.00000000000000000000
195 -0.06316250377978946395 0.00000000000000000000
196 -0.06260965910775628807 0.00000000000000000000
197 -0.06205681443572312606 0.00000000000000000000
198 -0.06150396976368995711 0.00000000000000000000
199 -0.06095112509165679510 0.00000000000000000000
200 -0.06039828041962362615 0.00000000000000000000
201 -0.05984543574759044332 0.00000000000000000000
202 -0.05929259107555729519 0.00000000000000000000
203 -0.05873974640352410542 0.00000000000000000000
204 -0.05818690173149095729 0.00000000000000000000
205 -0.05763405705945778140 0.00000000000000000000
206 -0.05708121238742461939 0.00000000000000000000
207 -0.05652836771539144350 0.00000000000000000000
208 -0.05597552304335828149 0.00000000000000000000
209 -0.05542267837132510561 0.00000000000000000000
210 -0.05486983369929193666 0.00000000000000000000
211 -0.05431698902725876771 0.00000000000000000000
212 -0.05376414435522560570 0.00000000000000000000
213 -0.05321129968319243675 0.00000000000000000000
214 -0.05265845501115926780 0.00000000000000000000
215 -0.05210561033912610579 0.00000000000000000000
216 -0.05155276566709291602 0.00000000000000000000
217 -0.05099992099505976789 0.00000000000000000000
218 -0.05044707632302659200 0.00000000000000000000
219 -0.04989423165099342999 0.00000000000000000000
220 -0.04934138697896025411 0.00000000000000000000
221 -0.04878854230692709210 0.00000000000000000000
222 -0.04823569763489391621 0.00000000000000000000
223 -0.04768285296286076114 0.00000000000000000000
224 -0.04713000829082757831 0.00000000000000000000
225 -0.04657716361879441630 0.00000000000000000000
226 -0.04602431894676125429 0.00000000000000000000
227 -0.04547147427472807146 0.00000000000000000000
228 -0.04491862960269490945 0.00000000000000000000
229 -0.04436578493066174744 0.00000000000000000000
230 -0.04381294025862857155 0.00000000000000000000
231 -0.04326009558659540954 0.00000000000000000000
232 -0.04270725091456224753 0.00000000000000000000
233 -0.04215440624252905777 0.00000000000000000000
234 -0.04160156157049590964 0.00000000000000000000
235 -0.04104871689846273375 0.00000000000000000000
236 -0.04049587222642957174 0.00000000000000000000
237 -0.03994302755439639585 0.00000000000000000000
238 -0.03939018288236323384 0.00000000000000000000
239 -0.03883733821033005795 0.00000000000000000000
240 -0.03828449353829689594 0.00000000000000000000
241 -0.03773164886626372005 0.00000000000000000000
242 -0.03717880419423055804 0.00000000000000000000
243 -0.03662595952219738216 0.00000000000000000000
244 -0.03607311485016422015 0.00000000000000000000
245 -0.03552027017813105814 0.00000000000000000000
246 -0.03496742550609788225 0.00000000000000000000
247 -0.03441458083406472024 0.00000000000000000000
248 -0.03386173616203153047 0.00000000000000000000
249 -0.03330889148999838234 0.00000000000000000000
250 -0.03275604681796520645 0.00000000000000000000
251 -0.03220320214593204444 0.00000000000000000000
252 -0.03165035747389886855 0.00000000000000000000
253 -0.03109751280186570654 0.00000000000000000000
254 -0.03054466812983253066 0.00000000000000000000
255 -0.02999182345779938252 0.00000000000000000000
256 -0.02943897878576619276 0.00000000000000000000
257 -0.02888613411373303075 0.00000000000000000000
258 -0.02833328944169986874 0.00000000000000000000
259 -0.02778044476966669285 0.00000000000000000000
260 -0.02722760009763353084 0.00000000000000000000
261 -0.02667475542560036883 0.00000000000000000000
262 -0.02612191075356719294 0.00000000000000000000
263 -0.02556906608153401705 0.00000000000000000000
264 -0.02501622140950085504 0.00000000000000000000
265 -0.02446337673746767916 0.00000000000000000000
266 -0.02391053206543451715 0.00000000000000000000
267 -0.02335768739340134126 0.00000000000000000000
268 -0.02280484272136819313 0.00000000000000000000
269 -0.02225199804933500336 0.00000000000000000000
270 -0.02169915337730185523 0.00000000000000000000
271 -0.02114630870526867934 0.00000000000000000000
272 -0.02059346403323551733 0.00000000000000000000
273 -0.02004061936120234144 0.00000000000000000000
274 -0.01948777468916916555 0.00000000000000000000
275 -0.01893493001713600354 0.00000000000000000000
276 -0.01838208534510284153 0.00000000000000000000
277 -0.01782924067306966565 0.00000000000000000000
278 -0.01727639600103650364 0.00000000000000000000
279 -0.01672355132900332775 0.00000000000000000000
280 -0.01617070665697015186 0.00000000000000000000
281 -0.01561786198493700373 0.00000000000000000000
282 -0.01506501731290381396 0.00000000000000000000
283 -0.01451217264087066583 0.00000000000000000000
284 -0.01395932796883748994 0.00000000000000000000
285 -0.01340648329680432793 0.00000000000000000000
286 -0.01285363862477115204 0.00000000000000000000
287 -0.01230079395273799003 0.00000000000000000000
288 -0.01174794928070481415 0.00000000000000000000
289 -0.01119510460867163826 0.00000000000000000000
290 -0.01064225993663847625 0.00000000000000000000
291 -0.01008941526460531424 0.00000000000000000000
292 -0.00953657059257213835 0.00000000000000000000
293 -0.00898372592053897634 0.00000000000000000000
294 -0.00843088124850581433 0.00000000000000000000
