GCP;Model =StabilizedMount[m];None[m];SynthesizeGimbal[m];HyperCover[m]
1;0.069;0.064;0.036;0.063
2;0.057;0.065;0.042;0.047
3;0.077;0.074;0.055;0.073
4;0.081;0.065;0.034;0.049
5;0.024;0;0.028;0.038
6;0;0.023;0.026;0.032
7;0.053;0.045;0.097;0.082
8;0.064;0.039;0.087;0.076
9;0.063;0;0.054;0.048
10;0.068;0.026;0.016;0.025
11;0;0;0.03;0.063
12;0.019;0.063;0.054;0.077
13;0.031;0.039;0.06;0.062
14;0.085;0.053;0.066;0.094
15;0.085;0.017;0.031;0.065
